CD_CVM,DENOM_SOCIAL,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,TICKERS,NUM_ORDINARIAS,NUM_PREFERENCIAIS,NUM_TOTAL
906,BANCO BRADESCO S.A.,60.746.948/0001-12,Bancos,PRIVADO,BBDC3;BBDC4,5330304681,5311865547,10642170228
1023,BANCO DO BRASIL S.A.,00.000.000/0001-91,Bancos,ESTATAL,BBAS11;BBAS12;BBAS3,5730834040,0,5730834040
